Species
Gobius fallax
Gobius gasteveni
Gobius geniporus
Gobius incognitus
Gobius kolombatovici
Gobius niger
Gobius ophiocephalus
Gobius paganellus
Gobius roulei
Gobius strictus
Gobius vittatus
Gobius xanthocephalus
Gobius xoriguer
Gonichthys cocco
Gonostoma denudatum
Gouania orientalis
Gouania willdenowi
Grammonus ater
Guttigadus latifrons
Gymnammodytes cicerelus
Gymnammodytes semisquamatus
Gymnesigobius medits
Gymnothorax reticularis
Gymnothorax unicolor
Gymnura altavela
Halobatrachus didactylus
Halosaurus ovenii
Hazeus ingressus
Helicolenus dactylopterus
Hemiramphus far
Heptranchias perlo
Herklotsichthys punctatus
Hexanchus griseus
Hexanchus vitulus
Himantura uarnak
Hippocampus fuscus
Hippocampus guttulatus
Hippocampus hippocampus
Hirundichthys rondeletii
Hirundichthys speculiger
Holacanthus ciliaris
Hoplostethus mediterraneus
Huso huso
Hygophum benoiti
Hygophum hygomii
Hymenocephalus italicus
Hyperoglyphe perciformis
Hypleurochilus bananensis
Hyporhamphus affinis
Hyporhamphus picarti
Hyporthodus haifensis
Ichthyococcus ovatus
Iniistius pavo
Istiompax indica
Istiophorus albicans
Isurus oxyrinchus
Jaydia queketti
Jaydia smithi
Kajikia albida
Katsuwonus pelamis
Knipowitschia caucasica
Kyphosus sectatrix
Labrus bergylta
Labrus merula
Labrus mixtus
Labrus viridis
Lactophrys trigonus
Lagocephalus lagocephalus
Lagocephalus sceleratus
Lagocephalus spadiceus
Lagocephalus suezensis
Lamna nasus
Lampanyctus crocodilus
Lampanyctus pusillus
Lampetra fluviatilis
Lampris guttatus
Lappanella fasciata
Lebetus guilleti
Lebetus patzneri
Lepadogaster candolii
Lepadogaster lepadogaster
Lepadogaster purpurea
Lepidion guentheri
Lepidion lepidion
Lepidopus caudatus
Lepidorhombus boscii
Lepidorhombus whiffiagonis
Lepidotrigla cavillone
Lepidotrigla dieuzeidei
Lestidiops jayakari
Lestidiops pseudosphyraenoides
Lestidiops sphyrenoides
Lestidium atlanticum
Lesueurigobius friesii
Lesueurigobius sanzi
Lesueurigobius suerii
Leucoraja circularis
Leucoraja fullonica
Leucoraja melitensis
Leucoraja naevus
Lichia amia
Lipophrys pholis
Lipophrys trigloides
Lithognathus mormyrus
Lobianchia dofleini
Lobianchia gemellarii
Lobotes surinamensis
Lophius budegassa
Lophius piscatorius
Lophotus lacepede
Lutjanus argentimaculatus
Lutjanus jocu
Luvarus imperialis
Macroramphosus scolopax
Makaira nigricans
Maurolicus muelleri
Melanostigma atlanticum
Merlangius merlangus
Merluccius merluccius
Microchirus azevia
Microchirus boscanion
Microchirus ocellatus
Microchirus variegatus
Microichthys coccoi
Microichthys sanzoi
Microlipophrys adriaticus
